Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
252.96,2,21.0,1,5,4,18,8,4,0
186.57941637770875,1,6.399815808380637,1,3,2,91,3,0,1
4593.52,2,1.0,0,8,2,32,14,3,0
2487.248109902724,1,5.852995694467697,2,1,3,8,11,0,1
2823.43,2,1.0,2,7,2,53,3,0,0
1194.6393771586165,0,5.57506910843756,0,2,2,18,3,0,1
868.8,1,0.0,2,4,0,55,2,4,0
710.9,3,3.0,0,3,1,91,12,1,0
2393.743411447219,2,11.433926918711176,2,2,1,4,5,2,1
3859.4369520378864,1,5.688164323212968,0,3,3,101,5,3,1
3761.73,0,3.0,1,3,0,113,2,3,1
969.6460808227042,0,9.391917729576509,2,5,1,52,9,3,1
3177.5317369712316,2,16.76007756384365,0,7,3,101,7,0,1
1985.802161396461,2,6.140960085816559,0,6,4,5,8,3,1
2913.262751675293,0,13.243097507937437,1,1,0,7,2,3,1
4960.65,4,14.0,2,5,4,3,7,0,0
4448.042982992236,1,21.75021225482913,0,6,1,97,9,4,1
4930.180948314227,2,5.9429986103871055,0,5,2,52,2,4,1
2391.3554970554123,2,17.293488575373797,0,1,3,47,12,3,1
3151.75,2,0.0,1,5,3,25,6,5,0
311.66630425406396,2,21.863838463046214,1,6,0,112,1,0,1
1726.2885485780625,3,12.191372356344816,2,2,2,66,4,1,1
3758.055552912334,0,8.579420740490752,1,0,0,102,9,3,1
1943.87,3,18.0,2,4,3,18,3,4,0
3908.5080464740577,3,15.24583929368954,1,0,1,38,11,2,1
4068.09,0,13.0,0,4,2,62,7,0,0
514.89,1,15.0,2,7,4,75,8,0,0
4465.62,1,20.0,0,1,0,51,12,3,1
324.5416008834456,3,3.1668271135473565,0,0,0,30,4,4,1
1826.58,2,16.0,1,2,3,100,14,3,0
3051.85,2,20.0,1,6,1,73,7,3,0
4058.84,0,7.0,2,7,3,65,2,3,0
4991.849095973129,1,15.441096196775938,1,1,0,68,6,0,1
3127.330466754099,2,20.90728561116681,1,0,1,66,2,3,1
3843.0,0,8.0,0,1,1,99,5,3,0
847.6539918596793,0,3.9111820375366637,2,2,2,49,3,0,1
1959.5333336595365,3,9.83333659536641,1,6,2,57,3,0,1
1543.7579826750823,3,15.685056736676504,3,1,3,17,7,2,1
1006.38,1,18.0,1,0,1,46,5,3,0
3558.772868785827,3,18.240934690797843,1,0,2,74,3,1,1
466.50158715068346,0,11.089232129022147,2,2,1,26,4,0,1
4919.7334799612045,2,22.36320523170407,2,5,0,57,5,2,1
2010.6259569336773,0,18.942292661854562,1,5,2,98,10,1,1
3927.7855198154825,1,8.993634912460596,1,4,2,107,2,2,1
4523.852696565722,1,1.2070852783112724,0,3,0,58,4,3,1
267.37426883308444,3,9.660705547200363,1,2,1,17,11,1,1
3199.41,4,16.0,2,8,4,60,10,1,0
3127.600973261254,3,20.519431994111436,0,0,1,69,2,4,1
114.06,2,3.0,1,8,0,105,7,3,0
707.66,4,11.0,2,7,3,62,9,3,0
4048.034484073272,0,3.20487073190587,2,2,0,34,2,3,1
2290.9866865684753,1,5.569034405400727,3,2,3,18,5,2,1
2489.859401489345,2,6.938511908492593,1,2,1,1,6,3,1
2839.8741961323517,2,1.1507347589253099,0,2,2,99,2,4,1
3418.2302758382893,2,13.175163327942716,0,2,2,69,12,1,1
510.88445844224566,1,13.270026138955874,1,2,2,83,5,0,1
828.31,0,11.0,1,2,0,11,14,3,0
268.41,1,21.0,1,4,4,53,14,5,0
1809.55,3,4.0,2,2,2,44,14,1,0
1318.4804879446344,1,15.860829148906351,1,5,2,67,9,1,1
1862.3659048404304,1,15.543527944268192,0,6,2,92,9,1,1
4680.020076769791,1,14.140216193349847,1,0,3,99,11,0,1
4682.134787365375,1,6.192176550806625,2,1,1,16,11,2,1
49997.8,1,2.506717810350188,2,2,1,44,1,2,1
4768.22,2,23.0,2,1,2,13,8,5,0
1963.03,0,5.0,0,2,1,71,9,3,0
3571.54,4,13.0,2,3,4,4,6,4,0
1875.04,3,22.0,0,2,4,108,9,1,0
1399.42,0,10.0,0,7,1,95,8,5,0
4352.787335854877,0,7.329546592403325,0,1,0,115,4,0,1
1035.9773282694644,2,15.907433532940615,2,0,1,74,1,2,1
3343.22,3,23.0,2,2,3,5,12,4,0
2762.815551777577,3,21.094616752791822,0,6,2,106,13,1,1
2064.44,4,9.0,4,0,2,61,1,0,0
2580.6701961654626,2,7.429749420820777,0,3,1,25,6,1,1
1114.89,3,15.0,0,8,1,23,9,0,0
687.97,1,23.0,1,2,0,90,9,4,0
412.3,1,12.0,1,1,0,59,2,1,0
973.0,2,19.0,1,2,0,23,7,4,0
1919.821246396537,0,14.880197004944348,2,5,1,42,3,0,1
2620.197443915737,1,6.04568986404159,2,6,2,48,7,1,1
3094.15,4,15.0,0,4,3,54,2,4,1
4272.74,0,4.0,1,1,0,93,3,5,0
1066.1307815729378,0,17.312052648749535,1,6,3,45,1,0,1
3168.2339809677974,4,3.035735834255003,1,7,3,25,5,1,1
707.59,2,3.0,2,1,2,89,12,5,0
3579.084267452045,0,5.228405079089539,1,3,1,88,8,1,1
3179.7,2,17.0,0,6,2,17,11,4,0
2244.66,2,9.0,1,2,4,67,4,0,0
1863.648741172997,1,13.731433800762483,0,7,2,95,11,1,1
208.25,0,2.0,1,4,4,51,11,2,1
403.1,0,14.0,2,1,2,84,5,2,0
4742.273980043222,2,13.34346716407906,1,0,2,73,4,4,1
2669.6166939180875,1,17.60417563094992,2,1,1,9,3,4,1
4053.26,4,18.0,0,7,0,84,1,4,0
151.88,3,18.0,1,5,1,102,11,4,0
2991.149948326871,0,2.18702557643681,2,0,2,92,2,3,1
98.94,0,13.0,0,5,4,44,4,0,0
3439.1008545668615,3,12.0,2,3,1,13,7,1,1
2158.41,1,18.0,1,6,1,32,9,0,0
1687.3,2,10.0,2,2,2,35,7,0,0
4414.532999537187,1,14.296234080120785,1,2,2,87,6,1,1
3805.948613888501,0,16.09318626765875,3,2,2,72,9,4,1
2901.2328501973,1,3.592500161721639,0,4,1,10,9,2,1
4840.063623291233,0,17.291546980447926,1,6,3,45,4,3,1
1322.86,3,19.0,0,8,3,25,2,0,0
2248.24,0,5.0,0,3,4,22,6,3,0
2489.1168158572395,1,10.215266244165463,2,1,3,5,11,0,1
261.5531589957749,2,12.924324722042613,0,2,2,26,12,1,1
2668.516935148734,2,14.18642806192211,1,3,1,20,5,4,1
4356.9,3,17.0,0,2,2,112,8,3,0
4142.67,2,21.0,0,4,2,85,11,4,0
2240.987953599532,1,15.367995856135236,0,4,1,48,4,3,1
3393.24,1,12.0,2,6,2,52,11,4,0
1604.05,2,10.0,0,7,4,36,8,4,0
918.9130645985679,0,10.107247580255029,0,1,2,35,7,4,1
823.6288406003115,3,21.942365043387973,1,5,2,77,10,3,1
3555.4,0,3.0,2,0,0,100,6,3,1
394.47437960407956,3,13.111139980374208,2,2,3,78,2,3,1
1384.9480193527916,2,1.442137399205212,0,1,1,92,1,2,1
4662.52,2,22.0,1,2,3,13,4,3,0
238.7,0,19.0,0,6,2,22,2,3,0
4505.13,3,0.0,0,1,2,11,4,4,0
1571.759284573553,0,11.67340420303086,2,0,3,68,12,1,1
195.86619451085338,1,8.90030168132832,0,2,1,116,11,3,1
4659.33,0,21.0,1,4,3,54,11,3,0
4567.1,4,22.0,2,3,3,57,12,4,0
4866.240784482035,3,11.060475001922455,1,3,1,31,4,1,1
2176.6451924875755,2,5.908396210903713,0,1,2,22,4,0,1
1794.17,0,11.0,2,6,2,74,1,0,0
158.5363904373177,2,18.532544571075363,1,2,3,86,8,0,1
4625.59,2,15.0,0,4,3,8,3,4,0
260.8,1,0.0,0,3,1,56,7,1,0
3115.4747106151826,1,11.370248746213777,0,3,3,31,10,0,1
3056.4237166782036,0,16.963086882173382,0,0,1,14,2,3,1
4351.786728495544,2,9.057585381592851,0,5,2,59,7,1,1
258.25,2,4.0,4,1,4,2,2,3,0
2477.0,2,3.0,3,1,3,62,1,4,0
49997.8,2,21.0,1,1,1,68,11,1,0
881.8378058260621,3,8.680740574854006,1,0,2,70,10,1,1
4478.94,3,5.0,0,8,0,110,8,3,0
4854.765354799439,2,5.518232924882208,1,1,4,83,7,2,1
1283.4,3,7.0,2,4,3,7,13,3,0
504.0023611003707,1,19.300560913580867,0,2,1,88,10,3,1
912.26,3,6.0,1,6,0,34,1,3,0
114.12,3,21.0,0,7,1,36,7,1,0
453.89232816605477,2,10.464135746930623,2,2,2,66,11,4,1
2410.08,1,13.0,1,6,2,23,3,3,0
1453.2667342007176,2,7.827123410588208,0,6,1,95,4,1,1
1195.8451843856417,0,5.648999655772029,0,2,2,20,3,0,1
3321.79,1,2.0,2,5,4,32,13,2,0
4600.2401435718575,2,7.6427177144382465,0,2,2,95,5,2,1
3517.815895820995,2,5.243011425850685,2,1,3,24,4,0,1
1805.02,0,9.0,2,0,3,17,2,3,0
4097.62,1,23.0,0,0,3,91,11,4,0
60.06462585010316,0,16.45146947698933,0,5,0,91,6,3,1
725.0160781083649,3,20.243599905358195,1,0,0,99,1,3,1
4414.988419732522,1,8.259929318312604,3,4,3,18,8,3,1
2237.81,0,3.0,2,8,2,108,4,0,0
3077.65,1,21.0,2,3,3,32,5,0,0
2327.08,3,4.0,0,5,4,114,10,3,1
2811.806967577173,1,22.803930308699922,0,1,1,91,6,4,1
2612.07,1,5.0,1,1,3,100,8,4,0
999.4,1,9.0,4,8,1,46,7,1,0
3146.27,2,14.0,1,6,0,14,12,5,0
1652.37,4,15.0,1,7,1,77,14,4,0
1761.25,1,16.0,2,4,1,10,8,4,0
4190.4,0,1.0,1,6,3,74,6,5,0
2602.2781857659966,3,4.616314301119373,1,5,1,14,8,3,1
2009.1523963477052,2,10.973357281428445,3,4,1,28,6,2,1
955.8361207602018,2,17.018675671783857,0,6,1,33,8,3,1
2073.99,4,20.0,1,4,0,52,1,4,0
1909.85,0,4.0,2,4,3,63,2,4,0
903.8145620713514,0,15.571959102606936,1,1,3,88,9,0,1
3447.2061297980044,0,11.983201542003956,0,4,0,60,13,0,1
4377.06,0,19.0,3,0,4,5,10,0,1
159.12,4,1.0,0,3,3,49,14,1,0
4388.95,4,5.0,0,1,0,84,1,3,0
2030.72,1,1.0,0,2,4,87,11,3,0
2816.77,2,18.0,3,5,4,82,10,3,0
2454.76,1,14.0,0,2,2,4,3,3,0
3523.47,2,15.0,2,4,0,3,2,0,0
695.8415414193142,2,10.273531259486019,1,2,1,59,5,0,1
3249.41,4,23.0,3,3,0,18,3,3,1
3850.7853882356444,3,10.520462409328541,0,6,2,76,11,1,1
3467.8780241757736,3,10.05539786820973,0,0,0,105,4,3,1
4286.884416012567,0,19.42118700020732,0,2,1,16,12,2,1
4349.080818635896,1,13.688894549887534,1,2,2,95,8,2,1
1111.65,0,3.0,1,4,4,13,12,5,0
3508.346914464677,3,12.46223922101175,2,5,2,31,5,1,1
1161.8176037186036,0,4.107453183610657,0,5,2,106,6,3,1
1141.09,1,3.0,1,0,1,55,9,5,0
4622.38725142697,0,9.499265087425098,0,5,2,90,7,0,1
4945.54,0,15.0,2,5,4,95,2,1,0
872.22,1,20.0,2,3,3,77,8,5,0
1980.8084270870652,1,14.46991610038583,2,2,1,6,9,3,1
2864.3223106968553,3,4.914886339499496,2,2,1,65,12,0,1
4023.64,0,10.0,0,1,3,54,1,4,0
4185.5870828712805,1,17.58966361701085,3,2,0,106,10,1,1
1615.060961456517,3,16.482085650685505,0,1,1,81,6,3,1
32.20608148384913,1,4.785580215344973,1,4,2,80,10,2,1
1260.2373894511536,3,7.855601782866801,1,1,0,72,12,2,1
1766.77,3,21.0,0,1,2,79,14,0,0
2479.936157489715,2,10.83575013095534,2,1,4,5,8,0,1
4557.38,2,21.0,1,4,0,88,7,0,0
2953.07,4,12.0,4,0,4,2,11,0,0
2137.47,1,12.0,2,7,3,65,3,0,0
4616.16,0,4.0,0,2,4,77,3,0,0
4402.355335221767,0,20.909081903529554,2,5,3,25,3,0,1
1783.86,3,19.0,0,0,0,100,4,5,0
1053.9906442598474,0,2.3855145759103924,0,3,3,110,6,0,1
2628.57,1,9.0,2,1,3,95,3,1,0
4354.100138241482,2,13.882494775851105,3,0,3,110,11,1,1
197.5,1,20.0,1,2,1,77,8,1,0
2906.7979921223523,2,15.272757146086231,1,1,0,8,7,3,1
1062.1,3,11.0,0,7,4,67,10,2,0
2704.704245679633,3,10.873861369503357,2,2,4,88,5,1,1
917.47,1,3.0,0,6,0,71,7,0,0
49997.8,2,12.456559412147513,1,1,1,3,4,0,1
3898.78,4,15.0,3,7,1,22,1,1,0
2086.351150835519,2,19.55918885423315,1,2,0,21,10,0,1
3273.6437534608317,3,11.521758059127393,0,4,3,63,7,4,1
2378.320791100967,1,7.0259721473567405,2,1,2,113,5,2,1
2879.16,1,14.0,1,6,2,62,9,1,0
