iter	Logloss
0	0.6201521234
1	0.575855694
2	0.5335302259
3	0.4758486667
4	0.4126463717
5	0.3689002198
6	0.3241963842
7	0.303486485
8	0.2782431202
9	0.2657963127
10	0.2553857552
11	0.2466697233
12	0.2425141679
13	0.2382476387
14	0.2348609594
15	0.2280886773
16	0.2169393139
17	0.2080888633
18	0.2035485617
19	0.199806536
20	0.1976183171
21	0.1948337758
22	0.1927063216
23	0.1912929499
24	0.1890677755
25	0.1872915363
26	0.1846566184
27	0.1827528804
28	0.1795276811
29	0.1782260191
30	0.1752701336
31	0.1741240757
32	0.1727654445
33	0.1709792918
34	0.1688060427
35	0.1668301542
36	0.165372968
37	0.1642513442
38	0.1630662423
39	0.1608471173
40	0.1573697622
41	0.1532183003
42	0.1502187857
43	0.1483691896
44	0.1470294041
45	0.1450071189
46	0.1436590614
47	0.1420988012
48	0.1405726723
49	0.1393141468
50	0.1375613793
51	0.1364772918
52	0.1352433122
53	0.1340986704
54	0.1331830021
55	0.1321502167
56	0.130755626
57	0.1300661248
58	0.1293764772
59	0.1287012645
60	0.1279173582
61	0.1272546486
62	0.1265109526
63	0.1255105564
64	0.1247708698
65	0.1239173637
66	0.1230135321
67	0.1222705931
68	0.1216507252
69	0.1204618346
70	0.1199244122
71	0.1191456424
72	0.1179748931
73	0.1174461045
74	0.1168068788
75	0.1158550692
76	0.1152086156
77	0.1141191634
78	0.1134947197
79	0.1129690424
80	0.1123989876
81	0.1113889155
82	0.1108076565
83	0.1099486334
84	0.1086641362
85	0.1076033723
86	0.1068644325
87	0.1061946583
88	0.105175956
89	0.1044473636
90	0.1038146924
91	0.1031706259
92	0.1026792013
93	0.1018362395
94	0.1010722608
95	0.1000938615
96	0.09967159919
97	0.09855913046
98	0.09788303517
99	0.09706596088
100	0.09623086962
101	0.09569671091
102	0.09512723971
103	0.09465561445
104	0.09393613897
105	0.09336953913
106	0.09256710961
107	0.09219070103
108	0.09173214675
109	0.09100146831
110	0.09054421742
111	0.09005894165
112	0.08977581062
113	0.08927543074
114	0.0887589615
115	0.08805141751
116	0.08751895816
117	0.0870566785
118	0.08671064306
119	0.08620634602
120	0.08575994623
121	0.08488636755
122	0.08398847002
123	0.08318654117
124	0.0826057651
125	0.08197729604
126	0.08154488558
127	0.08097024266
128	0.08041948998
129	0.08015841313
130	0.07974040956
131	0.07940685943
132	0.07912562048
133	0.07872618707
134	0.07812032188
135	0.07768238417
136	0.07716157801
137	0.07666181852
138	0.07634405709
139	0.07597692867
140	0.07541243457
141	0.0750030707
142	0.0746588022
143	0.07424621793
144	0.07367051402
145	0.07323076164
146	0.07273259158
147	0.07240681721
148	0.07159545647
149	0.07120890672
150	0.07090438709
151	0.07036920564
152	0.07007255656
153	0.06969220527
154	0.06931157132
155	0.06896170775
156	0.06851997807
157	0.06816240727
158	0.06765478065
159	0.06745580213
160	0.06694653025
161	0.06669548692
162	0.06622423148
163	0.06596293708
164	0.06557676355
165	0.06499267946
166	0.06454635737
167	0.06414175647
168	0.06358770401
169	0.06334063202
170	0.06290072147
171	0.06248112083
172	0.06220300976
173	0.0618136818
174	0.06138982036
175	0.0611233142
176	0.06096185391
177	0.06062004388
178	0.0601916851
179	0.05985986969
180	0.05967644532
181	0.05913367734
182	0.05866787016
183	0.05845492452
184	0.05818912239
185	0.05794279028
186	0.05748673534
187	0.05723620034
188	0.05686893381
189	0.0566280005
190	0.05636775054
191	0.05615599307
192	0.05567959189
193	0.05549386441
194	0.05532639739
195	0.05514483384
196	0.05494816067
197	0.05459942362
198	0.05442977535
199	0.05402271124
200	0.0537596431
201	0.05339205404
202	0.05320402904
203	0.05283783491
204	0.0525316258
205	0.05235352236
206	0.05208393309
207	0.0516367287
208	0.05120372878
209	0.0510295919
210	0.0506509959
211	0.05039613642
212	0.0500378957
213	0.04966150661
214	0.04945292301
215	0.04922246366
