iter	Passed	Remaining
0	71	15373
1	150	16067
2	195	13855
3	255	13559
4	304	12858
5	359	12588
6	413	12353
7	470	12229
8	505	11622
9	561	11574
10	641	11958
11	696	11833
12	729	11392
13	771	11126
14	836	11207
15	894	11185
16	944	11052
17	986	10854
18	1039	10779
19	1097	10755
20	1155	10734
21	1200	10590
22	1251	10503
23	1301	10411
24	1356	10365
25	1431	10461
26	1503	10522
27	1601	10750
28	1685	10868
29	1784	11063
30	1855	11074
31	1892	10884
32	1931	10711
33	1960	10493
34	1987	10278
35	2022	10110
36	2056	9948
37	2091	9797
38	2130	9668
39	2159	9502
40	2186	9333
41	2217	9187
42	2245	9035
43	2280	8913
44	2316	8801
45	2359	8720
46	2399	8629
47	2435	8523
48	2471	8422
49	2522	8374
50	2579	8345
51	2612	8240
52	2656	8171
53	2690	8071
54	2725	7977
55	2758	7882
56	2801	7814
57	2846	7754
58	2896	7708
59	2936	7635
60	2970	7548
61	3003	7459
62	3039	7382
63	3121	7413
64	3161	7345
65	3188	7246
66	3213	7146
67	3243	7059
68	3273	6973
69	3305	6894
70	3338	6818
71	3375	6750
72	3411	6683
73	3448	6616
74	3480	6543
75	3506	6459
76	3538	6387
77	3572	6320
78	3601	6245
79	3631	6174
80	3657	6096
81	3687	6025
82	3716	5954
83	3745	5885
84	3775	5818
85	3802	5747
86	3833	5684
87	3862	5617
88	3894	5557
89	3929	5501
90	3962	5443
91	3996	5386
92	4031	5331
93	4061	5271
94	4091	5211
95	4119	5149
96	4147	5088
97	4179	5032
98	4206	4971
99	4232	4909
100	4259	4850
101	4288	4793
102	4318	4737
103	4350	4684
104	4377	4627
105	4405	4571
106	4436	4519
107	4465	4465
108	4490	4408
109	4521	4356
110	4550	4304
111	4579	4252
112	4604	4197
113	4639	4151
114	4671	4103
115	4707	4057
116	4737	4008
117	4769	3961
118	4798	3911
119	4827	3862
120	4852	3809
121	4885	3764
122	4923	3722
123	4955	3676
124	4983	3627
125	5016	3582
126	5045	3535
127	5078	3491
128	5113	3448
129	5144	3403
130	5174	3357
131	5203	3311
132	5233	3266
133	5277	3229
134	5338	3202
135	5384	3167
136	5423	3127
137	5462	3087
138	5495	3044
139	5526	3000
140	5561	2958
141	5591	2914
142	5626	2872
143	5654	2827
144	5687	2784
145	5715	2740
146	5784	2715
147	5823	2675
148	5853	2632
149	5883	2588
150	5911	2544
151	5942	2501
152	5971	2458
153	5998	2415
154	6028	2372
155	6056	2329
156	6084	2286
157	6113	2244
158	6144	2202
159	6171	2159
160	6197	2117
161	6225	2075
162	6259	2035
163	6288	1993
164	6314	1951
165	6343	1910
166	6372	1869
167	6402	1829
168	6434	1789
169	6459	1747
170	6491	1708
171	6525	1669
172	6557	1629
173	6598	1592
174	6631	1553
175	6661	1514
176	6693	1474
177	6723	1435
178	6752	1395
179	6782	1356
180	6813	1317
181	6845	1278
182	6875	1239
183	6906	1201
184	6932	1161
185	6975	1125
186	7009	1087
187	7039	1048
188	7066	1009
189	7096	971
190	7127	932
191	7157	894
192	7187	856
193	7214	818
194	7244	780
195	7271	741
196	7300	704
197	7325	665
198	7353	628
199	7384	590
200	7413	553
201	7442	515
202	7472	478
203	7503	441
204	7545	404
205	7587	368
206	7625	331
207	7663	294
208	7710	258
209	7763	221
210	7794	184
211	7834	147
212	7867	110
213	7896	73
214	7938	36
215	7966	0
